Ruby,A,ruby back full stack 
Ruby on Rails,A,ruby back full stack 
Sinatra,A,ruby back full stack
C#,A,c# back wins stack
ASP.NET,B,c# back wins
Unity,B,c# gaming 3d
WebGL,B,c# js java gaming 3d
Visual Basic,C,wins
Java,B,java back
Python,B,python back full
Flask,B,python back full
FastAPI,B,python back full stack
TypeScript,C,js java full
JavaScript,B,js java full stack
React,A,js java front
Svelte,A,js java front
Vue,B,js java front
Angular,B,js java full
Node,B,js java back full
Express,A,js java back full
npm,B,js java full devops
Yarn,B,js java full devops
HTML,A,html front
SCSS,A,html front
SASS,A,html front 
CSS,A,html front
PostgreSQL,B,sql database
MongoDB,B,nosql database
Heroku,A,devops cloud
Azure,B,devops cloud
AWS,B,devops cloud
DigitalOcean,A,devops cloud
Git,A,devops scm stack end
Bash,B,devops stack end
Docker,B,devops stack end
Kubernetes,B,devops stack end
Ansible,C,devops stack end
Terraform,B,devops stack end
Chef,B,devops stack end ruby
Vagrant,B,devops stack end ruby
Prometheus,C,devops tool
New Relic,C,devops tool
Scout APM,B,devops tool
Sentry,B,devops tool
gRPC,C,protocols full stack end api
RESTful APIs,A,protocols full stack end api
OAuth,A,protocols full stack end api
OpenID Connect,B,protocols full stack end api
Twilio,A,full stack end api
Stripe,A,full stack end api
PayPal,B,full stack end api
Square,A,full stack end api
Salesforce,B,api crm
Bitrix24,B,api crm
Elasticsearch,C,api crm devops
RSpec,B,devops ruby stack
Rake,B,devops ruby stack
Brakeman,B,devops ruby stack
Newman,A,devops qa tool
Postman,A,devops qa tool
Capybara,C,devops qa tool ruby
Capistrano,C,devops qa tool ruby
Mocha,C,qa
Cypress,C,qa
C++,D,c stack
CMake,C,c stack
WSL,B,tool stack
Linux,B,tool stack
Windows,B,tool stack
